Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-06-01,13907: Δ=3,469: Δ=0
2021-05-31,13904: Δ=0,469: Δ=0
2021-05-30,13904: Δ=3,469: Δ=0
2021-05-29,13901: Δ=6,469: Δ=0
2021-05-28,13895: Δ=5,469: Δ=0
2021-05-27,13890: Δ=5,469: Δ=1
2021-05-26,13885: Δ=6,468: Δ=1
2021-05-25,13879: Δ=6,467: Δ=1
2021-05-24,13873: Δ=6,466: Δ=0
2021-05-23,13867: Δ=7,466: Δ=0
2021-05-22,13860: Δ=10,466: Δ=0
2021-05-21,13850: Δ=19,466: Δ=0
2021-05-20,13831: Δ=8,466: Δ=0
2021-05-19,13823: Δ=19,466: Δ=0
2021-05-18,13804: Δ=12,466: Δ=1
2021-05-17,13792: Δ=8,465: Δ=0
2021-05-16,13784: Δ=17,465: Δ=0
2021-05-15,13767: Δ=6,465: Δ=0
2021-05-14,13761: Δ=8,465: Δ=1
2021-05-13,13753: Δ=17,464: Δ=0
2021-05-12,13736: Δ=17,464: Δ=1
2021-05-11,13719: Δ=6,463: Δ=0
2021-05-10,13713: Δ=10,463: Δ=0
2021-05-09,13703: Δ=18,463: Δ=1
2021-05-08,13685: Δ=17,462: Δ=0
2021-05-07,13668: Δ=27,462: Δ=0
2021-05-06,13641: Δ=21,462: Δ=0
2021-05-05,13620: Δ=19,462: Δ=0
2021-05-04,13601: Δ=15,462: Δ=0
2021-05-03,13586: Δ=13,462: Δ=1
2021-05-02,13573: Δ=26,461: Δ=0
2021-05-01,13547: Δ=25,461: Δ=0
2021-04-30,13522: Δ=29,461: Δ=0
2021-04-29,13493: Δ=25,461: Δ=0
2021-04-28,13468: Δ=20,461: Δ=0
2021-04-27,13448: Δ=14,461: Δ=0
2021-04-26,13434: Δ=17,461: Δ=0
2021-04-25,13417: Δ=30,461: Δ=0
2021-04-24,13387: Δ=26,461: Δ=2
2021-04-23,13361: Δ=31,459: Δ=0
2021-04-22,13330: Δ=39,459: Δ=0
2021-04-21,13291: Δ=26,459: Δ=2
2021-04-20,13265: Δ=20,457: Δ=0
2021-04-19,13245: Δ=34,457: Δ=2
2021-04-18,13211: Δ=38,455: Δ=0
2021-04-17,13173: Δ=48,455: Δ=1
2021-04-16,13125: Δ=58,454: Δ=0
2021-04-15,13067: Δ=45,454: Δ=1
2021-04-14,13022: Δ=45,453: Δ=0
2021-04-13,12977: Δ=39,453: Δ=0
2021-04-12,12938: Δ=43,453: Δ=0
2021-04-11,12895: Δ=56,453: Δ=0
2021-04-10,12839: Δ=69,453: Δ=1
2021-04-09,12770: Δ=64,452: Δ=2
2021-04-08,12706: Δ=61,450: Δ=0
2021-04-07,12645: Δ=67,450: Δ=2
2021-04-06,12578: Δ=39,448: Δ=0
2021-04-05,12539: Δ=107,448: Δ=2
2021-04-04,12432: Δ=0,446: Δ=0
2021-04-03,12432: Δ=85,446: Δ=1
2021-04-02,12347: Δ=100,445: Δ=0
2021-04-01,12247: Δ=97,445: Δ=1
2021-03-31,12150: Δ=104,444: Δ=1
2021-03-30,12046: Δ=73,443: Δ=1
2021-03-29,11973: Δ=82,442: Δ=1
2021-03-28,11891: Δ=85,441: Δ=1
2021-03-27,11806: Δ=130,440: Δ=2
2021-03-26,11676: Δ=96,438: Δ=1
2021-03-25,11580: Δ=112,437: Δ=2
2021-03-24,11468: Δ=73,435: Δ=5
2021-03-23,11395: Δ=94,430: Δ=1
2021-03-22,11301: Δ=57,429: Δ=0
2021-03-21,11244: Δ=98,429: Δ=1
2021-03-20,11146: Δ=93,428: Δ=0
2021-03-19,11053: Δ=99,428: Δ=1
2021-03-18,10954: Δ=82,427: Δ=3
2021-03-17,10872: Δ=62,424: Δ=0
2021-03-16,10810: Δ=46,424: Δ=0
2021-03-15,10764: Δ=68,424: Δ=2
2021-03-14,10696: Δ=64,422: Δ=1
2021-03-13,10632: Δ=74,421: Δ=0
2021-03-12,10558: Δ=54,421: Δ=3
2021-03-11,10504: Δ=52,418: Δ=0
2021-03-10,10452: Δ=59,418: Δ=0
2021-03-09,10393: Δ=33,418: Δ=3
2021-03-08,10360: Δ=31,415: Δ=2
2021-03-07,10329: Δ=32,413: Δ=2
2021-03-06,10297: Δ=41,411: Δ=1
2021-03-05,10256: Δ=48,410: Δ=2
2021-03-04,10208: Δ=41,408: Δ=1
2021-03-03,10167: Δ=34,407: Δ=2
2021-03-02,10133: Δ=4,405: Δ=0
2021-03-01,10129: Δ=41,405: Δ=1
2021-02-28,10088: Δ=40,404: Δ=1
2021-02-27,10048: Δ=37,403: Δ=2
2021-02-26,10011: Δ=56,401: Δ=3
2021-02-25,9955: Δ=44,398: Δ=2
2021-02-24,9911: Δ=48,396: Δ=3
2021-02-23,9863: Δ=25,393: Δ=2
2021-02-22,9838: Δ=30,391: Δ=0
2021-02-21,9808: Δ=45,391: Δ=2
2021-02-20,9763: Δ=27,389: Δ=2
2021-02-19,9736: Δ=39,387: Δ=1
2021-02-18,9697: Δ=32,386: Δ=2
2021-02-17,9665: Δ=21,384: Δ=4
2021-02-16,9644: Δ=12,380: Δ=0
2021-02-15,9632: Δ=32,380: Δ=3
2021-02-14,9600: Δ=50,377: Δ=1
2021-02-13,9550: Δ=51,376: Δ=4
2021-02-12,9499: Δ=40,372: Δ=4
2021-02-11,9459: Δ=51,368: Δ=6
2021-02-10,9408: Δ=45,362: Δ=1
2021-02-09,9363: Δ=24,361: Δ=3
2021-02-08,9339: Δ=37,358: Δ=4
2021-02-07,9302: Δ=83,354: Δ=3
2021-02-06,9219: Δ=116,351: Δ=3
2021-02-05,9103: Δ=93,348: Δ=2
2021-02-04,9010: Δ=90,346: Δ=1
2021-02-03,8920: Δ=150,345: Δ=3
2021-02-02,8770: Δ=31,342: Δ=0
2021-02-01,8739: Δ=36,342: Δ=0
2021-01-31,8703: Δ=53,342: Δ=2
2021-01-30,8650: Δ=74,340: Δ=6
2021-01-29,8576: Δ=82,334: Δ=5
2021-01-28,8494: Δ=120,329: Δ=2
2021-01-27,8374: Δ=71,327: Δ=4
2021-01-26,8303: Δ=59,323: Δ=1
2021-01-25,8244: Δ=108,322: Δ=0
2021-01-24,8136: Δ=107,322: Δ=4
2021-01-23,8029: Δ=119,318: Δ=3
2021-01-22,7910: Δ=127,315: Δ=3
2021-01-21,7783: Δ=193,312: Δ=4
2021-01-20,7590: Δ=91,308: Δ=5
2021-01-19,7499: Δ=87,303: Δ=1
2021-01-18,7412: Δ=97,302: Δ=2
2021-01-17,7315: Δ=111,300: Δ=6
2021-01-16,7204: Δ=164,294: Δ=3
2021-01-15,7040: Δ=110,291: Δ=3
2021-01-14,6930: Δ=114,288: Δ=5
2021-01-13,6816: Δ=131,283: Δ=6
2021-01-12,6685: Δ=116,277: Δ=0
2021-01-11,6569: Δ=115,277: Δ=1
2021-01-10,6454: Δ=196,276: Δ=1
2021-01-09,6258: Δ=115,275: Δ=4
2021-01-08,6143: Δ=170,271: Δ=2
2021-01-07,5973: Δ=92,269: Δ=7
2021-01-06,5881: Δ=63,262: Δ=6
2021-01-05,5818: Δ=68,256: Δ=3
2021-01-04,5750: Δ=42,253: Δ=4
2021-01-03,5708: Δ=91,249: Δ=9
2021-01-02,5617: Δ=221,240: Δ=2
2021-01-01,5396: Δ=0,238: Δ=0
2020-12-31,5396: Δ=159,238: Δ=4
2020-12-30,5237: Δ=56,234: Δ=5
2020-12-29,5181: Δ=64,229: Δ=0
2020-12-28,5117: Δ=51,229: Δ=1
2020-12-27,5066: Δ=58,228: Δ=1
2020-12-26,5008: Δ=203,227: Δ=1
2020-12-25,4805: Δ=0,226: Δ=0
2020-12-24,4805: Δ=108,226: Δ=3
2020-12-23,4697: Δ=53,223: Δ=2
2020-12-22,4644: Δ=63,221: Δ=1
2020-12-21,4581: Δ=62,220: Δ=3
2020-12-20,4519: Δ=64,217: Δ=2
2020-12-19,4455: Δ=131,215: Δ=2
2020-12-18,4324: Δ=84,213: Δ=1
2020-12-17,4240: Δ=62,212: Δ=1
2020-12-16,4178: Δ=92,211: Δ=1
2020-12-15,4086: Δ=88,210: Δ=3
2020-12-14,3998: Δ=48,207: Δ=1
2020-12-13,3950: Δ=65,206: Δ=2
2020-12-12,3885: Δ=64,204: Δ=2
2020-12-11,3821: Δ=82,202: Δ=0
2020-12-10,3739: Δ=68,202: Δ=2
2020-12-09,3671: Δ=117,200: Δ=2
2020-12-08,3554: Δ=40,198: Δ=1
2020-12-07,3514: Δ=37,197: Δ=0
2020-12-06,3477: Δ=48,197: Δ=0
2020-12-05,3429: Δ=57,197: Δ=0
2020-12-04,3372: Δ=83,197: Δ=2
2020-12-03,3289: Δ=85,195: Δ=1
2020-12-02,3204: Δ=75,194: Δ=2
2020-12-01,3129: Δ=82,192: Δ=0
2020-11-30,3047: Δ=27,192: Δ=0
2020-11-29,3020: Δ=43,192: Δ=0
2020-11-28,2977: Δ=77,192: Δ=1
2020-11-27,2900: Δ=71,191: Δ=0
2020-11-26,2829: Δ=0,191: Δ=0
2020-11-25,2829: Δ=68,191: Δ=1
2020-11-24,2761: Δ=70,190: Δ=0
2020-11-23,2691: Δ=31,190: Δ=0
2020-11-22,2660: Δ=34,190: Δ=0
2020-11-21,2626: Δ=138,190: Δ=0
2020-11-20,2488: Δ=32,190: Δ=0
2020-11-19,2456: Δ=30,190: Δ=0
2020-11-18,2426: Δ=52,190: Δ=2
