Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-06-06,52311: Δ=7,1530: Δ=1
2021-06-05,52304: Δ=30,1529: Δ=1
2021-06-04,52274: Δ=19,1528: Δ=2
2021-06-03,52255: Δ=22,1526: Δ=0
2021-06-02,52233: Δ=11,1526: Δ=1
2021-06-01,52222: Δ=16,1525: Δ=-1
2021-05-31,52206: Δ=0,1526: Δ=0
2021-05-30,52206: Δ=23,1526: Δ=2
2021-05-29,52183: Δ=26,1524: Δ=3
2021-05-28,52157: Δ=24,1521: Δ=1
2021-05-27,52133: Δ=20,1520: Δ=3
2021-05-26,52113: Δ=32,1517: Δ=1
2021-05-25,52081: Δ=20,1516: Δ=1
2021-05-24,52061: Δ=15,1515: Δ=0
2021-05-23,52046: Δ=32,1515: Δ=1
2021-05-22,52014: Δ=29,1514: Δ=0
2021-05-21,51985: Δ=48,1514: Δ=1
2021-05-20,51937: Δ=39,1513: Δ=2
2021-05-19,51898: Δ=42,1511: Δ=3
2021-05-18,51856: Δ=53,1508: Δ=1
2021-05-17,51803: Δ=32,1507: Δ=-3
2021-05-16,51771: Δ=45,1510: Δ=3
2021-05-15,51726: Δ=82,1507: Δ=1
2021-05-14,51644: Δ=44,1506: Δ=2
2021-05-13,51600: Δ=68,1504: Δ=0
2021-05-12,51532: Δ=99,1504: Δ=4
2021-05-11,51433: Δ=23,1500: Δ=0
2021-05-10,51410: Δ=38,1500: Δ=2
2021-05-09,51372: Δ=55,1498: Δ=0
2021-05-08,51317: Δ=78,1498: Δ=2
2021-05-07,51239: Δ=72,1496: Δ=-1
2021-05-06,51167: Δ=111,1497: Δ=-1
2021-05-05,51056: Δ=71,1498: Δ=1
2021-05-04,50985: Δ=84,1497: Δ=0
2021-05-03,50901: Δ=55,1497: Δ=1
2021-05-02,50846: Δ=103,1496: Δ=0
2021-05-01,50743: Δ=130,1496: Δ=1
2021-04-30,50613: Δ=128,1495: Δ=5
2021-04-29,50485: Δ=134,1490: Δ=1
2021-04-28,50351: Δ=158,1489: Δ=2
2021-04-27,50193: Δ=85,1487: Δ=0
2021-04-26,50108: Δ=88,1487: Δ=0
2021-04-25,50020: Δ=114,1487: Δ=2
2021-04-24,49906: Δ=123,1485: Δ=0
2021-04-23,49783: Δ=172,1485: Δ=1
2021-04-22,49611: Δ=182,1484: Δ=1
2021-04-21,49429: Δ=122,1483: Δ=1
2021-04-20,49307: Δ=172,1482: Δ=1
2021-04-19,49135: Δ=144,1481: Δ=1
2021-04-18,48991: Δ=99,1480: Δ=1
2021-04-17,48892: Δ=219,1479: Δ=3
2021-04-16,48673: Δ=156,1476: Δ=2
2021-04-15,48517: Δ=197,1474: Δ=2
2021-04-14,48320: Δ=184,1472: Δ=1
2021-04-13,48136: Δ=197,1471: Δ=2
2021-04-12,47939: Δ=147,1469: Δ=1
2021-04-11,47792: Δ=162,1468: Δ=1
2021-04-10,47630: Δ=213,1467: Δ=0
2021-04-09,47417: Δ=188,1467: Δ=2
2021-04-08,47229: Δ=204,1465: Δ=4
2021-04-07,47025: Δ=170,1461: Δ=2
2021-04-06,46855: Δ=136,1459: Δ=1
2021-04-05,46719: Δ=255,1458: Δ=3
2021-04-04,46464: Δ=0,1455: Δ=0
2021-04-03,46464: Δ=232,1455: Δ=2
2021-04-02,46232: Δ=171,1453: Δ=7
2021-04-01,46061: Δ=220,1446: Δ=0
2021-03-31,45841: Δ=171,1446: Δ=3
2021-03-30,45670: Δ=173,1443: Δ=2
2021-03-29,45497: Δ=119,1441: Δ=1
2021-03-28,45378: Δ=153,1440: Δ=4
2021-03-27,45225: Δ=213,1436: Δ=2
2021-03-26,45012: Δ=206,1434: Δ=1
2021-03-25,44806: Δ=198,1433: Δ=6
2021-03-24,44608: Δ=142,1427: Δ=5
2021-03-23,44466: Δ=133,1422: Δ=3
2021-03-22,44333: Δ=105,1419: Δ=2
2021-03-21,44228: Δ=105,1417: Δ=3
2021-03-20,44123: Δ=156,1414: Δ=2
2021-03-19,43967: Δ=151,1412: Δ=5
2021-03-18,43816: Δ=156,1407: Δ=2
2021-03-17,43660: Δ=87,1405: Δ=8
2021-03-16,43573: Δ=72,1397: Δ=1
2021-03-15,43501: Δ=90,1396: Δ=1
2021-03-14,43411: Δ=104,1395: Δ=2
2021-03-13,43307: Δ=147,1393: Δ=5
2021-03-12,43160: Δ=117,1388: Δ=2
2021-03-11,43043: Δ=132,1386: Δ=7
2021-03-10,42911: Δ=82,1379: Δ=7
2021-03-09,42829: Δ=132,1372: Δ=0
2021-03-08,42697: Δ=71,1372: Δ=1
2021-03-07,42626: Δ=126,1371: Δ=6
2021-03-06,42500: Δ=125,1365: Δ=8
2021-03-05,42375: Δ=166,1357: Δ=6
2021-03-04,42209: Δ=104,1351: Δ=4
2021-03-03,42105: Δ=164,1347: Δ=7
2021-03-02,41941: Δ=75,1340: Δ=8
2021-03-01,41866: Δ=124,1332: Δ=0
2021-02-28,41742: Δ=134,1332: Δ=4
2021-02-27,41608: Δ=136,1328: Δ=6
2021-02-26,41472: Δ=171,1322: Δ=2
2021-02-25,41301: Δ=176,1320: Δ=4
2021-02-24,41125: Δ=128,1316: Δ=5
2021-02-23,40997: Δ=138,1311: Δ=3
2021-02-22,40859: Δ=119,1308: Δ=3
2021-02-21,40740: Δ=100,1305: Δ=4
2021-02-20,40640: Δ=182,1301: Δ=3
2021-02-19,40458: Δ=193,1298: Δ=6
2021-02-18,40265: Δ=135,1292: Δ=6
2021-02-17,40130: Δ=127,1286: Δ=4
2021-02-16,40003: Δ=150,1282: Δ=4
2021-02-15,39853: Δ=101,1278: Δ=4
2021-02-14,39752: Δ=169,1274: Δ=5
2021-02-13,39583: Δ=137,1269: Δ=3
2021-02-12,39446: Δ=182,1266: Δ=7
2021-02-11,39264: Δ=162,1259: Δ=6
2021-02-10,39102: Δ=142,1253: Δ=9
2021-02-09,38960: Δ=199,1244: Δ=6
2021-02-08,38761: Δ=121,1238: Δ=6
2021-02-07,38640: Δ=252,1232: Δ=5
2021-02-06,38388: Δ=241,1227: Δ=6
2021-02-05,38147: Δ=236,1221: Δ=6
2021-02-04,37911: Δ=180,1215: Δ=5
2021-02-03,37731: Δ=91,1210: Δ=3
2021-02-02,37640: Δ=243,1207: Δ=0
2021-02-01,37397: Δ=211,1207: Δ=3
2021-01-31,37186: Δ=233,1204: Δ=4
2021-01-30,36953: Δ=341,1200: Δ=8
2021-01-29,36612: Δ=226,1192: Δ=3
2021-01-28,36386: Δ=460,1189: Δ=3
2021-01-27,35926: Δ=114,1186: Δ=8
2021-01-26,35812: Δ=323,1178: Δ=3
2021-01-25,35489: Δ=319,1175: Δ=0
2021-01-24,35170: Δ=205,1175: Δ=6
2021-01-23,34965: Δ=428,1169: Δ=6
2021-01-22,34537: Δ=281,1163: Δ=11
2021-01-21,34256: Δ=346,1152: Δ=8
2021-01-20,33910: Δ=363,1144: Δ=6
2021-01-19,33547: Δ=313,1138: Δ=3
2021-01-18,33234: Δ=298,1135: Δ=1
2021-01-17,32936: Δ=309,1134: Δ=7
2021-01-16,32627: Δ=416,1127: Δ=3
2021-01-15,32211: Δ=413,1124: Δ=6
2021-01-14,31798: Δ=405,1118: Δ=4
2021-01-13,31393: Δ=358,1114: Δ=6
2021-01-12,31035: Δ=476,1108: Δ=3
2021-01-11,30559: Δ=289,1105: Δ=4
2021-01-10,30270: Δ=394,1101: Δ=8
2021-01-09,29876: Δ=508,1093: Δ=5
2021-01-08,29368: Δ=538,1088: Δ=3
2021-01-07,28830: Δ=621,1085: Δ=7
2021-01-06,28209: Δ=365,1078: Δ=10
2021-01-05,27844: Δ=441,1068: Δ=2
2021-01-04,27403: Δ=345,1066: Δ=3
2021-01-03,27058: Δ=172,1063: Δ=8
2021-01-02,26886: Δ=604,1055: Δ=9
2021-01-01,26282: Δ=0,1046: Δ=0
2020-12-31,26282: Δ=502,1046: Δ=2
2020-12-30,25780: Δ=436,1044: Δ=7
2020-12-29,25344: Δ=248,1037: Δ=2
2020-12-28,25096: Δ=230,1035: Δ=2
2020-12-27,24866: Δ=200,1033: Δ=5
2020-12-26,24666: Δ=468,1028: Δ=4
2020-12-25,24198: Δ=0,1024: Δ=0
2020-12-24,24198: Δ=491,1024: Δ=7
2020-12-23,23707: Δ=335,1017: Δ=10
2020-12-22,23372: Δ=306,1007: Δ=2
2020-12-21,23066: Δ=290,1005: Δ=2
2020-12-20,22776: Δ=351,1003: Δ=9
2020-12-19,22425: Δ=193,994: Δ=3
2020-12-18,22232: Δ=460,991: Δ=5
2020-12-17,21772: Δ=370,986: Δ=7
2020-12-16,21402: Δ=296,979: Δ=5
2020-12-15,21106: Δ=305,974: Δ=7
2020-12-14,20801: Δ=284,967: Δ=4
2020-12-13,20517: Δ=277,963: Δ=1
2020-12-12,20240: Δ=309,962: Δ=1
2020-12-11,19931: Δ=326,961: Δ=4
2020-12-10,19605: Δ=363,957: Δ=6
2020-12-09,19242: Δ=325,951: Δ=12
2020-12-08,18917: Δ=429,939: Δ=4
2020-12-07,18488: Δ=163,935: Δ=4
2020-12-06,18325: Δ=343,931: Δ=5
2020-12-05,17982: Δ=431,926: Δ=4
2020-12-04,17551: Δ=388,922: Δ=2
2020-12-03,17163: Δ=428,920: Δ=3
2020-12-02,16735: Δ=278,917: Δ=4
2020-12-01,16457: Δ=314,913: Δ=2
2020-11-30,16143: Δ=158,911: Δ=1
2020-11-29,15985: Δ=210,910: Δ=3
2020-11-28,15775: Δ=285,907: Δ=10
2020-11-27,15490: Δ=321,897: Δ=5
2020-11-26,15169: Δ=0,892: Δ=0
2020-11-25,15169: Δ=298,892: Δ=7
2020-11-24,14871: Δ=289,885: Δ=1
2020-11-23,14582: Δ=178,884: Δ=1
2020-11-22,14404: Δ=237,883: Δ=3
2020-11-21,14167: Δ=238,880: Δ=4
2020-11-20,13929: Δ=228,876: Δ=3
2020-11-19,13701: Δ=144,873: Δ=7
2020-11-18,13557: Δ=239,866: Δ=7
2020-11-17,13318: Δ=217,859: Δ=3
2020-11-16,13101: Δ=178,856: Δ=1
2020-11-15,12923: Δ=191,855: Δ=6
2020-11-14,12732: Δ=270,849: Δ=4
2020-11-13,12462: Δ=313,845: Δ=1
2020-11-12,12149: Δ=186,844: Δ=2
2020-11-11,11963: Δ=236,842: Δ=0
2020-11-10,11727: Δ=167,842: Δ=3
2020-11-09,11560: Δ=204,839: Δ=1
2020-11-08,11356: Δ=168,838: Δ=2
2020-11-07,11188: Δ=181,836: Δ=2
2020-11-06,11007: Δ=195,834: Δ=4
2020-11-05,10812: Δ=161,830: Δ=5
2020-11-04,10651: Δ=128,825: Δ=1
2020-11-03,10523: Δ=98,824: Δ=2
2020-11-02,10425: Δ=66,822: Δ=1
2020-11-01,10359: Δ=105,821: Δ=4
2020-10-31,10254: Δ=103,817: Δ=1
2020-10-30,10151: Δ=135,816: Δ=0
2020-10-29,10016: Δ=115,816: Δ=1
2020-10-28,9901: Δ=101,815: Δ=3
2020-10-27,9800: Δ=77,812: Δ=0
2020-10-26,9723: Δ=175,812: Δ=1
2020-10-25,9548: Δ=47,811: Δ=2
2020-10-24,9501: Δ=122,809: Δ=2
2020-10-23,9379: Δ=74,807: Δ=3
2020-10-22,9305: Δ=86,804: Δ=4
2020-10-21,9219: Δ=48,800: Δ=1
2020-10-20,9171: Δ=46,799: Δ=0
2020-10-19,9125: Δ=51,799: Δ=1
2020-10-18,9074: Δ=60,798: Δ=0
2020-10-17,9014: Δ=43,798: Δ=2
2020-10-16,8971: Δ=50,796: Δ=2
2020-10-15,8921: Δ=27,794: Δ=0
2020-10-14,8894: Δ=40,794: Δ=2
2020-10-13,8854: Δ=36,792: Δ=0
2020-10-12,8818: Δ=64,792: Δ=0
2020-10-11,8754: Δ=38,792: Δ=0
2020-10-10,8716: Δ=35,792: Δ=0
2020-10-09,8681: Δ=60,792: Δ=1
2020-10-08,8621: Δ=10,791: Δ=0
2020-10-07,8611: Δ=37,791: Δ=0
2020-10-06,8574: Δ=41,791: Δ=1
2020-10-05,8533: Δ=40,790: Δ=1
2020-10-04,8493: Δ=58,789: Δ=0
2020-10-03,8435: Δ=32,789: Δ=2
2020-10-02,8403: Δ=64,787: Δ=1
2020-10-01,8339: Δ=56,786: Δ=5
2020-09-30,8283: Δ=29,781: Δ=2
2020-09-29,8254: Δ=14,779: Δ=1
2020-09-28,8240: Δ=41,778: Δ=2
2020-09-27,8199: Δ=52,776: Δ=1
2020-09-26,8147: Δ=30,775: Δ=1
2020-09-25,8117: Δ=19,774: Δ=0
2020-09-24,8098: Δ=23,774: Δ=1
2020-09-23,8075: Δ=50,773: Δ=0
2020-09-22,8025: Δ=14,773: Δ=1
2020-09-21,8011: Δ=25,772: Δ=0
2020-09-20,7986: Δ=20,772: Δ=1
2020-09-19,7966: Δ=19,771: Δ=2
2020-09-18,7947: Δ=14,769: Δ=1
2020-09-17,7933: Δ=31,768: Δ=0
2020-09-16,7902: Δ=17,768: Δ=1
2020-09-15,7885: Δ=17,767: Δ=0
2020-09-14,7868: Δ=11,767: Δ=0
2020-09-13,7857: Δ=11,767: Δ=0
2020-09-12,7846: Δ=12,767: Δ=0
2020-09-11,7834: Δ=17,767: Δ=5
2020-09-10,7817: Δ=24,762: Δ=3
2020-09-09,7793: Δ=4,759: Δ=0
2020-09-08,7789: Δ=15,759: Δ=0
2020-09-07,7774: Δ=12,759: Δ=0
2020-09-06,7762: Δ=23,759: Δ=3
2020-09-05,7739: Δ=21,756: Δ=1
2020-09-04,7718: Δ=20,755: Δ=1
2020-09-03,7698: Δ=12,754: Δ=3
2020-09-02,7686: Δ=-264,751: Δ=4
2020-09-01,7950: Δ=16,747: Δ=1
2020-08-31,7934: Δ=26,746: Δ=0
2020-08-30,7908: Δ=4,746: Δ=0
2020-08-29,7904: Δ=17,746: Δ=0
2020-08-28,7887: Δ=26,746: Δ=0
2020-08-27,7861: Δ=22,746: Δ=2
2020-08-26,7839: Δ=14,744: Δ=5
2020-08-25,7825: Δ=17,739: Δ=2
2020-08-24,7808: Δ=17,737: Δ=3
2020-08-23,7791: Δ=0,734: Δ=0
2020-08-22,7791: Δ=4,734: Δ=2
2020-08-21,7787: Δ=12,732: Δ=0
2020-08-20,7775: Δ=23,732: Δ=3
2020-08-19,7752: Δ=115,729: Δ=20
2020-08-18,7637: Δ=0,709: Δ=0
2020-08-17,7637: Δ=0,709: Δ=0
2020-08-16,7637: Δ=0,709: Δ=0
2020-08-15,7637: Δ=0,709: Δ=0
2020-08-14,7637: Δ=0,709: Δ=0
2020-08-13,7637: Δ=0,709: Δ=0
2020-08-12,7637: Δ=0,709: Δ=0
2020-08-11,7637: Δ=18,709: Δ=2
2020-08-10,7619: Δ=19,707: Δ=0
2020-08-09,7600: Δ=18,707: Δ=3
2020-08-08,7582: Δ=26,704: Δ=1
2020-08-07,7556: Δ=15,703: Δ=3
2020-08-06,7541: Δ=23,700: Δ=1
2020-08-05,7518: Δ=19,699: Δ=0
2020-08-04,7499: Δ=22,699: Δ=0
2020-08-03,7477: Δ=10,699: Δ=1
2020-08-02,7467: Δ=34,698: Δ=1
2020-08-01,7433: Δ=29,697: Δ=1
2020-07-31,7404: Δ=23,696: Δ=4
2020-07-30,7381: Δ=28,692: Δ=0
2020-07-29,7353: Δ=27,692: Δ=3
2020-07-28,7326: Δ=17,689: Δ=1
2020-07-27,7309: Δ=26,688: Δ=1
2020-07-26,7283: Δ=24,687: Δ=4
2020-07-25,7259: Δ=31,683: Δ=1
2020-07-24,7228: Δ=8,682: Δ=1
2020-07-23,7220: Δ=40,681: Δ=1
2020-07-22,7180: Δ=28,680: Δ=1
2020-07-21,7152: Δ=11,679: Δ=1
2020-07-20,7141: Δ=1,678: Δ=-4
2020-07-19,7140: Δ=20,682: Δ=1
2020-07-18,7120: Δ=20,681: Δ=0
2020-07-17,7100: Δ=23,681: Δ=1
2020-07-16,7077: Δ=21,680: Δ=-1
2020-07-15,7056: Δ=17,681: Δ=2
2020-07-14,7039: Δ=20,679: Δ=1
2020-07-13,7019: Δ=19,678: Δ=0
2020-07-12,7000: Δ=26,678: Δ=4
2020-07-11,6974: Δ=31,674: Δ=2
2020-07-10,6943: Δ=11,672: Δ=1
2020-07-09,6932: Δ=29,671: Δ=-1
2020-07-08,6903: Δ=8,672: Δ=0
2020-07-07,6895: Δ=12,672: Δ=2
2020-07-06,6883: Δ=13,670: Δ=4
