Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-06-01,9140: Δ=0,298: Δ=1
2021-05-31,9140: Δ=0,297: Δ=0
2021-05-30,9140: Δ=1,297: Δ=0
2021-05-29,9139: Δ=2,297: Δ=0
2021-05-28,9137: Δ=0,297: Δ=0
2021-05-27,9137: Δ=1,297: Δ=1
2021-05-26,9136: Δ=4,296: Δ=0
2021-05-25,9132: Δ=2,296: Δ=0
2021-05-24,9130: Δ=2,296: Δ=0
2021-05-23,9128: Δ=7,296: Δ=0
2021-05-22,9121: Δ=2,296: Δ=0
2021-05-21,9119: Δ=4,296: Δ=1
2021-05-20,9115: Δ=3,295: Δ=0
2021-05-19,9112: Δ=6,295: Δ=1
2021-05-18,9106: Δ=2,294: Δ=0
2021-05-17,9104: Δ=1,294: Δ=0
2021-05-16,9103: Δ=5,294: Δ=0
2021-05-15,9098: Δ=13,294: Δ=0
2021-05-14,9085: Δ=6,294: Δ=0
2021-05-13,9079: Δ=10,294: Δ=0
2021-05-12,9069: Δ=11,294: Δ=0
2021-05-11,9058: Δ=2,294: Δ=0
2021-05-10,9056: Δ=8,294: Δ=0
2021-05-09,9048: Δ=11,294: Δ=0
2021-05-08,9037: Δ=19,294: Δ=0
2021-05-07,9018: Δ=13,294: Δ=0
2021-05-06,9005: Δ=11,294: Δ=1
2021-05-05,8994: Δ=6,293: Δ=2
2021-05-04,8988: Δ=15,291: Δ=0
2021-05-03,8973: Δ=4,291: Δ=1
2021-05-02,8969: Δ=9,290: Δ=0
2021-05-01,8960: Δ=10,290: Δ=0
2021-04-30,8950: Δ=13,290: Δ=0
2021-04-29,8937: Δ=20,290: Δ=0
2021-04-28,8917: Δ=12,290: Δ=0
2021-04-27,8905: Δ=2,290: Δ=0
2021-04-26,8903: Δ=7,290: Δ=0
2021-04-25,8896: Δ=14,290: Δ=0
2021-04-24,8882: Δ=23,290: Δ=0
2021-04-23,8859: Δ=23,290: Δ=0
2021-04-22,8836: Δ=28,290: Δ=0
2021-04-21,8808: Δ=14,290: Δ=1
2021-04-20,8794: Δ=16,289: Δ=0
2021-04-19,8778: Δ=7,289: Δ=1
2021-04-18,8771: Δ=17,288: Δ=1
2021-04-17,8754: Δ=26,287: Δ=1
2021-04-16,8728: Δ=26,286: Δ=2
2021-04-15,8702: Δ=19,284: Δ=0
2021-04-14,8683: Δ=22,284: Δ=0
2021-04-13,8661: Δ=19,284: Δ=0
2021-04-12,8642: Δ=10,284: Δ=0
2021-04-11,8632: Δ=22,284: Δ=0
2021-04-10,8610: Δ=39,284: Δ=0
2021-04-09,8571: Δ=20,284: Δ=0
2021-04-08,8551: Δ=28,284: Δ=0
2021-04-07,8523: Δ=25,284: Δ=0
2021-04-06,8498: Δ=17,284: Δ=0
2021-04-05,8481: Δ=53,284: Δ=0
2021-04-04,8428: Δ=0,284: Δ=0
2021-04-03,8428: Δ=37,284: Δ=0
2021-04-02,8391: Δ=30,284: Δ=0
2021-04-01,8361: Δ=34,284: Δ=0
2021-03-31,8327: Δ=29,284: Δ=0
2021-03-30,8298: Δ=35,284: Δ=1
2021-03-29,8263: Δ=23,283: Δ=1
2021-03-28,8240: Δ=15,282: Δ=0
2021-03-27,8225: Δ=34,282: Δ=1
2021-03-26,8191: Δ=33,281: Δ=2
2021-03-25,8158: Δ=53,279: Δ=0
2021-03-24,8105: Δ=18,279: Δ=0
2021-03-23,8087: Δ=29,279: Δ=1
2021-03-22,8058: Δ=14,278: Δ=0
2021-03-21,8044: Δ=42,278: Δ=1
2021-03-20,8002: Δ=28,277: Δ=0
2021-03-19,7974: Δ=31,277: Δ=1
2021-03-18,7943: Δ=45,276: Δ=1
2021-03-17,7898: Δ=27,275: Δ=1
2021-03-16,7871: Δ=20,274: Δ=0
2021-03-15,7851: Δ=16,274: Δ=0
2021-03-14,7835: Δ=42,274: Δ=0
2021-03-13,7793: Δ=20,274: Δ=2
2021-03-12,7773: Δ=25,272: Δ=2
2021-03-11,7748: Δ=33,270: Δ=1
2021-03-10,7715: Δ=30,269: Δ=1
2021-03-09,7685: Δ=23,268: Δ=0
2021-03-08,7662: Δ=17,268: Δ=2
2021-03-07,7645: Δ=42,266: Δ=2
2021-03-06,7603: Δ=29,264: Δ=1
2021-03-05,7574: Δ=49,263: Δ=0
2021-03-04,7525: Δ=66,263: Δ=1
2021-03-03,7459: Δ=52,262: Δ=1
2021-03-02,7407: Δ=-17,261: Δ=0
2021-03-01,7424: Δ=29,261: Δ=0
2021-02-28,7395: Δ=56,261: Δ=0
2021-02-27,7339: Δ=40,261: Δ=1
2021-02-26,7299: Δ=45,260: Δ=2
2021-02-25,7254: Δ=52,258: Δ=2
2021-02-24,7202: Δ=61,256: Δ=0
2021-02-23,7141: Δ=24,256: Δ=0
2021-02-22,7117: Δ=13,256: Δ=1
2021-02-21,7104: Δ=39,255: Δ=0
2021-02-20,7065: Δ=62,255: Δ=1
2021-02-19,7003: Δ=64,254: Δ=1
