Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-06-06,77156: Δ=16,2237: Δ=0
2021-06-05,77140: Δ=30,2237: Δ=0
2021-06-04,77110: Δ=32,2237: Δ=0
2021-06-03,77078: Δ=21,2237: Δ=1
2021-06-02,77057: Δ=15,2236: Δ=1
2021-06-01,77042: Δ=13,2235: Δ=2
2021-05-31,77029: Δ=0,2233: Δ=0
2021-05-30,77029: Δ=9,2233: Δ=0
2021-05-29,77020: Δ=13,2233: Δ=2
2021-05-28,77007: Δ=18,2231: Δ=0
2021-05-27,76989: Δ=22,2231: Δ=1
2021-05-26,76967: Δ=34,2230: Δ=0
2021-05-25,76933: Δ=30,2230: Δ=1
2021-05-24,76903: Δ=28,2229: Δ=1
2021-05-23,76875: Δ=29,2228: Δ=2
2021-05-22,76846: Δ=38,2226: Δ=2
2021-05-21,76808: Δ=43,2224: Δ=2
2021-05-20,76765: Δ=48,2222: Δ=3
2021-05-19,76717: Δ=37,2219: Δ=1
2021-05-18,76680: Δ=46,2218: Δ=0
2021-05-17,76634: Δ=31,2218: Δ=10
2021-05-16,76603: Δ=51,2208: Δ=1
2021-05-15,76552: Δ=76,2207: Δ=1
2021-05-14,76476: Δ=48,2206: Δ=5
2021-05-13,76428: Δ=82,2201: Δ=0
2021-05-12,76346: Δ=113,2201: Δ=3
2021-05-11,76233: Δ=11,2198: Δ=0
2021-05-10,76222: Δ=56,2198: Δ=1
2021-05-09,76166: Δ=82,2197: Δ=1
2021-05-08,76084: Δ=102,2196: Δ=0
2021-05-07,75982: Δ=103,2196: Δ=1
2021-05-06,75879: Δ=123,2195: Δ=1
2021-05-05,75756: Δ=99,2194: Δ=2
2021-05-04,75657: Δ=94,2192: Δ=1
2021-05-03,75563: Δ=57,2191: Δ=1
2021-05-02,75506: Δ=89,2190: Δ=1
2021-05-01,75417: Δ=114,2189: Δ=0
2021-04-30,75303: Δ=124,2189: Δ=0
2021-04-29,75179: Δ=136,2189: Δ=1
2021-04-28,75043: Δ=176,2188: Δ=1
2021-04-27,74867: Δ=91,2187: Δ=0
2021-04-26,74776: Δ=67,2187: Δ=0
2021-04-25,74709: Δ=122,2187: Δ=1
2021-04-24,74587: Δ=145,2186: Δ=1
2021-04-23,74442: Δ=175,2185: Δ=0
2021-04-22,74267: Δ=128,2185: Δ=2
2021-04-21,74139: Δ=165,2183: Δ=2
2021-04-20,73974: Δ=137,2181: Δ=0
2021-04-19,73837: Δ=93,2181: Δ=3
2021-04-18,73744: Δ=122,2178: Δ=1
2021-04-17,73622: Δ=169,2177: Δ=0
2021-04-16,73453: Δ=200,2177: Δ=0
2021-04-15,73253: Δ=185,2177: Δ=1
2021-04-14,73068: Δ=257,2176: Δ=2
2021-04-13,72811: Δ=166,2174: Δ=1
2021-04-12,72645: Δ=125,2173: Δ=2
2021-04-11,72520: Δ=173,2171: Δ=2
2021-04-10,72347: Δ=225,2169: Δ=0
2021-04-09,72122: Δ=247,2169: Δ=0
2021-04-08,71875: Δ=152,2169: Δ=0
2021-04-07,71723: Δ=261,2169: Δ=2
2021-04-06,71462: Δ=137,2167: Δ=1
2021-04-05,71325: Δ=254,2166: Δ=5
2021-04-04,71071: Δ=0,2161: Δ=0
2021-04-03,71071: Δ=225,2161: Δ=4
2021-04-02,70846: Δ=229,2157: Δ=2
2021-04-01,70617: Δ=210,2155: Δ=4
2021-03-31,70407: Δ=246,2151: Δ=5
2021-03-30,70161: Δ=137,2146: Δ=2
2021-03-29,70024: Δ=120,2144: Δ=0
2021-03-28,69904: Δ=163,2144: Δ=3
2021-03-27,69741: Δ=198,2141: Δ=5
2021-03-26,69543: Δ=265,2136: Δ=3
2021-03-25,69278: Δ=227,2133: Δ=4
2021-03-24,69051: Δ=180,2129: Δ=6
2021-03-23,68871: Δ=134,2123: Δ=5
2021-03-22,68737: Δ=96,2118: Δ=5
2021-03-21,68641: Δ=142,2113: Δ=2
2021-03-20,68499: Δ=187,2111: Δ=5
2021-03-19,68312: Δ=192,2106: Δ=5
2021-03-18,68120: Δ=167,2101: Δ=5
2021-03-17,67953: Δ=199,2096: Δ=6
2021-03-16,67754: Δ=98,2090: Δ=1
2021-03-15,67656: Δ=97,2089: Δ=2
2021-03-14,67559: Δ=127,2087: Δ=7
2021-03-13,67432: Δ=168,2080: Δ=1
2021-03-12,67264: Δ=182,2079: Δ=2
2021-03-11,67082: Δ=187,2077: Δ=5
2021-03-10,66895: Δ=181,2072: Δ=6
2021-03-09,66714: Δ=122,2066: Δ=3
2021-03-08,66592: Δ=110,2063: Δ=3
2021-03-07,66482: Δ=154,2060: Δ=2
2021-03-06,66328: Δ=174,2058: Δ=0
2021-03-05,66154: Δ=187,2058: Δ=3
2021-03-04,65967: Δ=226,2055: Δ=4
2021-03-03,65741: Δ=219,2051: Δ=7
2021-03-02,65522: Δ=24,2044: Δ=3
2021-03-01,65498: Δ=135,2041: Δ=2
2021-02-28,65363: Δ=146,2039: Δ=4
2021-02-27,65217: Δ=194,2035: Δ=5
2021-02-26,65023: Δ=184,2030: Δ=6
2021-02-25,64839: Δ=226,2024: Δ=4
2021-02-24,64613: Δ=235,2020: Δ=11
2021-02-23,64378: Δ=125,2009: Δ=1
2021-02-22,64253: Δ=106,2008: Δ=5
2021-02-21,64147: Δ=167,2003: Δ=9
2021-02-20,63980: Δ=225,1994: Δ=6
2021-02-19,63755: Δ=167,1988: Δ=4
2021-02-18,63588: Δ=234,1984: Δ=11
2021-02-17,63354: Δ=114,1973: Δ=12
2021-02-16,63240: Δ=112,1961: Δ=5
2021-02-15,63128: Δ=148,1956: Δ=4
2021-02-14,62980: Δ=166,1952: Δ=10
2021-02-13,62814: Δ=252,1942: Δ=8
2021-02-12,62562: Δ=247,1934: Δ=12
2021-02-11,62315: Δ=253,1922: Δ=6
2021-02-10,62062: Δ=275,1916: Δ=8
2021-02-09,61787: Δ=133,1908: Δ=8
2021-02-08,61654: Δ=100,1900: Δ=5
2021-02-07,61554: Δ=373,1895: Δ=11
2021-02-06,61181: Δ=547,1884: Δ=10
2021-02-05,60634: Δ=280,1874: Δ=5
2021-02-04,60354: Δ=298,1869: Δ=11
2021-02-03,60056: Δ=218,1858: Δ=7
2021-02-02,59838: Δ=224,1851: Δ=12
2021-02-01,59614: Δ=165,1839: Δ=5
2021-01-31,59449: Δ=323,1834: Δ=3
2021-01-30,59126: Δ=500,1831: Δ=11
2021-01-29,58626: Δ=362,1820: Δ=13
2021-01-28,58264: Δ=522,1807: Δ=5
2021-01-27,57742: Δ=321,1802: Δ=11
2021-01-26,57421: Δ=282,1791: Δ=4
2021-01-25,57139: Δ=315,1787: Δ=7
2021-01-24,56824: Δ=429,1780: Δ=15
2021-01-23,56395: Δ=553,1765: Δ=10
2021-01-22,55842: Δ=585,1755: Δ=11
2021-01-21,55257: Δ=755,1744: Δ=6
2021-01-20,54502: Δ=410,1738: Δ=9
2021-01-19,54092: Δ=250,1729: Δ=7
2021-01-18,53842: Δ=316,1722: Δ=8
2021-01-17,53526: Δ=473,1714: Δ=14
