Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-06-06,49200: Δ=7,1439: Δ=0
2021-06-05,49193: Δ=10,1439: Δ=0
2021-06-04,49183: Δ=9,1439: Δ=0
2021-06-03,49174: Δ=23,1439: Δ=1
2021-06-02,49151: Δ=13,1438: Δ=0
2021-06-01,49138: Δ=23,1438: Δ=3
2021-05-31,49115: Δ=0,1435: Δ=0
2021-05-30,49115: Δ=22,1435: Δ=0
2021-05-29,49093: Δ=23,1435: Δ=0
2021-05-28,49070: Δ=20,1435: Δ=0
2021-05-27,49050: Δ=23,1435: Δ=0
2021-05-26,49027: Δ=19,1435: Δ=0
2021-05-25,49008: Δ=19,1435: Δ=0
2021-05-24,48989: Δ=16,1435: Δ=0
2021-05-23,48973: Δ=20,1435: Δ=0
2021-05-22,48953: Δ=28,1435: Δ=1
2021-05-21,48925: Δ=29,1434: Δ=2
2021-05-20,48896: Δ=62,1432: Δ=0
2021-05-19,48834: Δ=34,1432: Δ=2
2021-05-18,48800: Δ=30,1430: Δ=1
2021-05-17,48770: Δ=29,1429: Δ=3
2021-05-16,48741: Δ=37,1426: Δ=0
2021-05-15,48704: Δ=49,1426: Δ=0
2021-05-14,48655: Δ=35,1426: Δ=1
2021-05-13,48620: Δ=56,1425: Δ=0
2021-05-12,48564: Δ=81,1425: Δ=1
2021-05-11,48483: Δ=4,1424: Δ=0
2021-05-10,48479: Δ=47,1424: Δ=2
2021-05-09,48432: Δ=62,1422: Δ=4
2021-05-08,48370: Δ=65,1418: Δ=1
2021-05-07,48305: Δ=69,1417: Δ=1
2021-05-06,48236: Δ=79,1416: Δ=0
2021-05-05,48157: Δ=77,1416: Δ=1
2021-05-04,48080: Δ=58,1415: Δ=0
2021-05-03,48022: Δ=58,1415: Δ=4
2021-05-02,47964: Δ=61,1411: Δ=0
2021-05-01,47903: Δ=107,1411: Δ=1
2021-04-30,47796: Δ=97,1410: Δ=1
2021-04-29,47699: Δ=107,1409: Δ=2
2021-04-28,47592: Δ=88,1407: Δ=0
2021-04-27,47504: Δ=102,1407: Δ=0
2021-04-26,47402: Δ=75,1407: Δ=2
2021-04-25,47327: Δ=79,1405: Δ=0
2021-04-24,47248: Δ=109,1405: Δ=4
2021-04-23,47139: Δ=105,1401: Δ=2
2021-04-22,47034: Δ=108,1399: Δ=1
2021-04-21,46926: Δ=105,1398: Δ=3
2021-04-20,46821: Δ=79,1395: Δ=1
2021-04-19,46742: Δ=102,1394: Δ=2
2021-04-18,46640: Δ=95,1392: Δ=0
2021-04-17,46545: Δ=113,1392: Δ=0
2021-04-16,46432: Δ=163,1392: Δ=0
2021-04-15,46269: Δ=140,1392: Δ=0
2021-04-14,46129: Δ=128,1392: Δ=0
2021-04-13,46001: Δ=136,1392: Δ=1
2021-04-12,45865: Δ=113,1391: Δ=3
2021-04-11,45752: Δ=124,1388: Δ=0
2021-04-10,45628: Δ=120,1388: Δ=0
2021-04-09,45508: Δ=150,1388: Δ=0
2021-04-08,45358: Δ=129,1388: Δ=1
2021-04-07,45229: Δ=153,1387: Δ=2
2021-04-06,45076: Δ=161,1385: Δ=1
2021-04-05,44915: Δ=242,1384: Δ=1
2021-04-04,44673: Δ=0,1383: Δ=0
2021-04-03,44673: Δ=161,1383: Δ=1
2021-04-02,44512: Δ=155,1382: Δ=2
2021-04-01,44357: Δ=193,1380: Δ=1
2021-03-31,44164: Δ=182,1379: Δ=3
2021-03-30,43982: Δ=179,1376: Δ=2
2021-03-29,43803: Δ=99,1374: Δ=1
2021-03-28,43704: Δ=135,1373: Δ=0
2021-03-27,43569: Δ=185,1373: Δ=1
2021-03-26,43384: Δ=162,1372: Δ=4
2021-03-25,43222: Δ=200,1368: Δ=3
2021-03-24,43022: Δ=123,1365: Δ=3
2021-03-23,42899: Δ=155,1362: Δ=1
2021-03-22,42744: Δ=87,1361: Δ=1
2021-03-21,42657: Δ=133,1360: Δ=5
2021-03-20,42524: Δ=137,1355: Δ=0
2021-03-19,42387: Δ=184,1355: Δ=8
2021-03-18,42203: Δ=180,1347: Δ=2
2021-03-17,42023: Δ=96,1345: Δ=2
2021-03-16,41927: Δ=141,1343: Δ=-1
2021-03-15,41786: Δ=84,1344: Δ=3
2021-03-14,41702: Δ=103,1341: Δ=6
2021-03-13,41599: Δ=107,1335: Δ=2
2021-03-12,41492: Δ=144,1333: Δ=1
2021-03-11,41348: Δ=161,1332: Δ=0
2021-03-10,41187: Δ=96,1332: Δ=6
2021-03-09,41091: Δ=81,1326: Δ=2
2021-03-08,41010: Δ=58,1324: Δ=0
2021-03-07,40952: Δ=91,1324: Δ=1
2021-03-06,40861: Δ=103,1323: Δ=5
2021-03-05,40758: Δ=158,1318: Δ=3
2021-03-04,40600: Δ=105,1315: Δ=5
2021-03-03,40495: Δ=80,1310: Δ=8
2021-03-02,40415: Δ=49,1302: Δ=5
2021-03-01,40366: Δ=92,1297: Δ=3
2021-02-28,40274: Δ=92,1294: Δ=3
2021-02-27,40182: Δ=115,1291: Δ=2
2021-02-26,40067: Δ=145,1289: Δ=6
2021-02-25,39922: Δ=187,1283: Δ=3
2021-02-24,39735: Δ=111,1280: Δ=5
2021-02-23,39624: Δ=79,1275: Δ=4
2021-02-22,39545: Δ=92,1271: Δ=2
2021-02-21,39453: Δ=112,1269: Δ=1
2021-02-20,39341: Δ=130,1268: Δ=4
2021-02-19,39211: Δ=128,1264: Δ=3
2021-02-18,39083: Δ=144,1261: Δ=5
2021-02-17,38939: Δ=107,1256: Δ=7
2021-02-16,38832: Δ=89,1249: Δ=5
2021-02-15,38743: Δ=122,1244: Δ=2
2021-02-14,38621: Δ=148,1242: Δ=4
2021-02-13,38473: Δ=157,1238: Δ=5
2021-02-12,38316: Δ=171,1233: Δ=12
2021-02-11,38145: Δ=188,1221: Δ=5
2021-02-10,37957: Δ=134,1216: Δ=5
2021-02-09,37823: Δ=102,1211: Δ=9
2021-02-08,37721: Δ=117,1202: Δ=4
2021-02-07,37604: Δ=221,1198: Δ=11
2021-02-06,37383: Δ=272,1187: Δ=2
2021-02-05,37111: Δ=240,1185: Δ=6
2021-02-04,36871: Δ=263,1179: Δ=6
2021-02-03,36608: Δ=225,1173: Δ=6
2021-02-02,36383: Δ=176,1167: Δ=3
2021-02-01,36207: Δ=208,1164: Δ=2
2021-01-31,35999: Δ=220,1162: Δ=3
